draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bFT,bMVP,bWP,bER,sigma
31,128.72896726881157,0.984110531095815,0.5550471485189914,3.0,7.0,0.0,-125.24201559635412,0.2914643892855078,0.10838093928957553,0.052122892181239965,0.16598031300731708,0.04837915471348281,0.21354348577998578
32,130.20780616426558,0.9707757534083497,0.5593889784633831,2.0,3.0,0.0,-125.0376991892362,0.28610024548041274,0.06847325255453013,0.06877055849139489,0.16644403461268312,0.09027681412017417,0.1962573142369336
33,131.93214025210148,1.0,0.4880592379583002,3.0,7.0,0.0,-129.27956276883714,0.2701393836270214,0.0857530477143007,0.05575005917089193,0.19535052902928482,0.07334356412692214,0.19281623125939065
34,124.93976519948781,0.6740738459783778,0.5356568055523541,3.0,7.0,0.0,-122.59369736201032,0.28484752407107805,0.08632798614803004,0.052488172954721066,0.11207532798220927,0.08795509772838779,0.19694083585281522
35,129.3739305766115,0.9835218510600267,0.5550471485189914,2.0,3.0,0.0,-127.31555230138439,0.306340637684248,0.10686020430132682,0.043931252727869845,0.1739771056396452,0.06752637023025646,0.21356121172392145
36,129.26810237693405,0.9124655546713678,0.5593889784633831,3.0,7.0,0.0,-127.3993408118977,0.2515887697177476,0.10062212190300616,0.060985502131686346,0.20248186062298906,0.03695317399144686,0.19622711493588013
37,128.918404713864,0.8952690517844626,0.4880592379583002,3.0,7.0,0.0,-127.0389215999226,0.31366455656579395,0.03691176426050202,0.03317404249602837,0.22599914040281288,0.025634904362958885,0.20277392683803583
38,128.28851341781302,0.9824880119149301,0.5356568055523541,3.0,7.0,0.0,-122.53553480519642,0.27485713100843345,0.10357064187843473,0.061392980153881144,0.2214610623881933,0.07151458344647138,0.19635705638942025
39,129.97892607514402,0.864948140498828,0.5550471485189914,3.0,7.0,0.0,-123.03846574675208,0.29471753872878287,0.08049399356115436,0.011556986041035153,0.22458563217045246,0.05743183506333606,0.21248957325917997
40,127.21414019175305,0.9450579189902193,0.5593889784633831,3.0,7.0,0.0,-126.54049594166668,0.31990866515274946,0.044884919603062276,0.014257827241183487,0.21921327730276954,0.07756751809604079,0.19482982028213777
41,129.95613289327375,0.9464701697281376,0.4880592379583002,3.0,7.0,0.0,-125.63636037286778,0.24713687602358678,0.08012867047604258,0.034947026323430753,0.1835007251931996,0.04798150452623602,0.19476688484759702
42,131.00531634195477,0.9934454416785967,0.5356568055523541,3.0,11.0,0.0,-127.10980532748812,0.30568246153816153,0.08817959629360793,0.0575609541903125,0.17994165077955665,0.06495433886314791,0.19904008698775658
43,127.8910359931052,0.9661021502214703,0.5550471485189914,3.0,7.0,0.0,-126.7009133227015,0.26607793798688434,0.02956166788466159,0.07223589822488857,0.22240743010365552,0.01746867239520413,0.1962078090366563
44,128.4950596991067,0.8892370877128565,0.5593889784633831,3.0,7.0,0.0,-122.42551622813959,0.24599629318575789,0.08099701218755834,0.05530823237059944,0.20413598443416558,0.026412350042394398,0.18272777428051412
45,130.51788235861633,0.8922944667001781,0.4880592379583002,2.0,3.0,0.0,-127.70246007920169,0.2560823743118878,0.058406114391315246,0.02917534081502018,0.18599373702345962,0.0556133014189658,0.19650874369730864
46,131.5516314157572,0.7911366100550071,0.5356568055523541,3.0,7.0,0.0,-128.64208973412642,0.2714154950656904,0.08158786165154651,0.01725842905280747,0.19596449476895295,0.06792165058211916,0.20177225231904142
47,130.71514646288165,0.9880977273967645,0.5550471485189914,3.0,7.0,0.0,-125.33781252113862,0.2721052360323585,0.08906416417691945,0.0750024572161568,0.19317574482357902,0.06296400611919557,0.2030362754289114
48,129.80162687120387,0.9416101817886007,0.5593889784633831,3.0,15.0,0.0,-124.64964702443727,0.2684495953131618,0.07640523505826775,0.060013467711012965,0.2380083102358589,0.02360750984147418,0.18622296692440715
49,128.4677156920437,0.8708349072270928,0.4880592379583002,3.0,7.0,0.0,-126.94098375155652,0.2813959562286231,0.0820680327357203,0.07213980339750249,0.2245663752136036,0.06254438415957204,0.2173906368925418
50,130.75290212769795,0.8577272867108429,0.5356568055523541,3.0,15.0,0.0,-129.38398905087774,0.2817859401541947,0.07610764764708694,0.02343183302899455,0.19546434317693964,0.03563494240807405,0.2040763272840781
51,128.017588875494,0.8753519855135069,0.5550471485189914,3.0,7.0,0.0,-126.85397252933988,0.24861543839182249,0.07339730079611755,0.058836198551231775,0.16753359018073627,0.05785439751676497,0.22540829909949653
52,127.53443240943864,0.85000365846828,0.5593889784633831,2.0,3.0,0.0,-127.18429154695521,0.2665499373432686,0.08366376870298887,0.06254064336679598,0.24759181453036114,0.034817550695965,0.18261345657420355
53,132.38433077142645,0.9250733494204229,0.4880592379583002,3.0,7.0,0.0,-127.65368040220903,0.2829060648312596,0.07177420838357525,0.045018274106850234,0.1990054838447333,0.04191989547618338,0.19696552527285036
54,130.32122260820168,0.9833971209002442,0.5356568055523541,3.0,7.0,0.0,-128.66367217081242,0.27900579451425905,0.05575032986687493,0.048613405729075215,0.1672138830333673,0.06964841265190132,0.19143071676043524
